,ID,Tweet,Sentiment
127,1.0534536435e+18,After I wrote this I saw a #metoo account in which a survivor was actually bullied by her supervisor to whom she reported,0
130,1.05345360511e+18,Great! Your survival record today also updated self best! I am proud of you!…,1
133,1.05345354419e+18,"Can America trust Brett Kavanaugh??

#MeToo #BrettKavanaugh, #DonaldTrump, #Trump, #USA, #America",0
134,1.05345349315e+18,"Guardian reporter: GOP lawmaker who assaulted me isn’t a ‘tough cookie,’ he’s a ‘coward’ ",-1
135,1.05345343663e+18,Where are the Democrats on this?  Double standards.  They are  Proof they destroyed the #MeToo movement,0
136,1.05345342208e+18,"Thank you to Rachael Denhollander, the Louisville woman whose bravery sparked the Larry Nassar investigation",1
137,1.05345340451e+18,Why Indian feminists are saying yes to #MeToo &amp, no to sex offenders list. As a Canadian I found this piece by
138,1.05345340071e+18, #metoo,1
140,1.05345337438e+18,"Hey Shea Butter Twitter, where are all of your #metoo white feminist, intersectional “allies”, who you are always kissing",0
146,1.0534533309e+18,_in Aide effects of #metoo,1
152,1.05345327005e+18,"Heart breaking picture, the poor nun is weeping because judiciary, media, govt and all of us let her down. A rapist Bish",-1
157,1.05345323059e+18,#MeToo movement don’t give credit to the #RealWomen of this country #MilitaryWomen,0
161,1.05345318352e+18,Girls face sexual harassment and violence too. We have the power to end this epidemic and create a culture of respect for today,-1
165,1.05345303951e+18,"Remember, when you speak up about someone's unethical behavior, you aren't attempting to cost them their job. They are cost",-1
171,1.05345286982e+18,"Shut up, Mazie Hirono, You Said Nothing And Did Not Believe When 10 Women Accused Sen. Daniel Inouye Of Sexual Assault",-1
172,1.05345285184e+18,"Shut up, Mazie Hirono, You Said Nothing And Did Not Believe When 10 Women Accused Sen. Daniel Inouye Of Sexual Assault",-1
174,1.05345282948e+18,Grammar lessons from Donald Trump is like listening to Bill Cosby at a #MeToo conference ,-1
175,1.05345282847e+18,The most heartbreaking image I’ve seen today. Shameful how the Church has let down its nuns - the brides of Christ! Rape ,-1
176,1.05345281393e+18,"How To Avoid (Online) Stalking &amp; Harassment: https://t.co/TRM0yUQnRF
#genderequality 
#feminism #metoo https:",-1
180,1.05345276807e+18,"Anyway, in his room he sat me down and started kissing me on the sofa of his Apart/suite. I said no pushed him away finally",-1
185,1.05345402129e+18,"#VoteForYourLife
#SheWOKE #SheVote  #RockTheVote
#StopThisTrain",0
187,1.05345393546e+18,And the booth is ready for all its glory tomorrows #rainbowfestivalphx! #custom #handmade #displaybooths,0
188,1.05345388189e+18,#fridayfillin #Remember,0
189,1.05345381573e+18,PoseOnFX has given the #LGBTQ+ community a space to see themselves represented in a medium that often places our stories,1
193,1.0534537176e+18,#fridayfillin #Remember #WhenObamaWasPrezAndCongressWasDemocratic  : able 2 #focus on my,0
194,1.05345369126e+18,#fridayfillin #Remember  #WhenObamaWasPrezAndCongressWasDemocratic  : able 2 #focus on my #job bc ,0
195,1.05345365679e+18,"Mariah Carey, Britney Spears, Luis Fonsi, Adam Lambert and more honor #LGBTQ youth on #SpiritDay 2018",1
197,1.05345354234e+18,"Today we learned about #DecolonizingTherapy, Living an #Authentic Life, #TuitionEquity, and #Equity in Healthcare at ",0
200,1.05345326982e+18,We love this message from @troyesivan + @LaurenJauregui for the youth of the #LGBTQ Community ,1
201,1.05345313125e+18,"#fridayfillin #Remember 
#WhenObamaWasPrezAndCongressWasDemocratic  : able 2 #focus on my #job bc I knew they were",0
202,1.05345307743e+18,Today we took the first steps toward mobilizing faith leaders and an interfaith alliance committed to embracing #LGBTQ-inclusive,1
204,1.05345283225e+18, It's Iowa Safe Schools Day! @iowasafeschools does amazing work across our state to ensure #LGBTQ students can learn in a school,0
209,1.05345262653e+18," The @gaytimesmag Honours have JUST been announced  Check out the #LGBTQ activists, celebs and allies – including @Harry",1
214,1.05345233602e+18,#America #Democrats #Liberals #Millennials #LGBTQ #resist #BlueWave2018 #BlueTsunami2018 #votegopout #VoteBlue2018 #res,0
215,1.0534522849e+18," NBC News reporter @oneunderscore__ is looking into today's indictment of Elena Khusyaynova, who is charged with running a Russian",-1
217,1.05345221428e+18,"Breaking:
Your hobbies don't make you gay.
Also, beating someone up because you think they're gay is wrong",-1
222,1.05345188075e+18,I finally decided to put these up on the Etsy Store: LGBTQ+ pride threader earrings made to order,0
224,1.05345183053e+18,"these are direct quotes from Dallin H. Oaks, First Counselor to the Prophet of The Church of Jesus",0
225,1.05345166494e+18,"New review of FINALLY OUT: ""I just came across your book and it is inspiring for anyone with doubts about realizing their",0
231,1.05345100741e+18,Family Research Council chair asks for prayers for Republicans to legalize abuse of #LGBTQ children,-1
236,1.05345047595e+18,"Looking for a something to read this weekend? Check out ""All The Dogs Are Dancing",0
241,1.05345010585e+18,During this commercial break I want to take a moment to talk about #SpiritDay. There is NO place for bullying in today,1
242,1.053450065e+18,"Triple threat Nadel Paris+her final ""fabulous"" #remix by @djaleamaral. We like to call it her #LGBTQ remix:
Her fan",1
253,1.0534490225e+18,Another life goal achieved! Met the incredible @kdlang newly inducted to Alberta Order of Excellence #ableg #pride ,0
259,1.05344836454e+18,"So I’m out to dinner with my friend Dave from @OXYMORRONS , we ask for the check, are told the people at the table next to",0
261,1.05344822532e+18,Proud to announce that my legislative record on #LGBTQ equality issues has earned a 100 percent score from Human Rights Campaign,0
269,1.05344697675e+18,caicos_thepotcakedog  is a very attentive driving - only in America #potcake #lovearescue #paws #ourboy,0
272,1.05344670169e+18,"Why Are Haters Always Reporting Hot, Beautiful Pics on Instagram?   #Instagram #Facebook are #homophobic",-1
